Date;WIL-ZH - Température moy. +2 m (°C);WIL-ZH - Humidité moy. (%);WIL-ZH - Précipitations tot. (mm ou litres/m2);WIL-ZH - Rayonnement (W/m2);AIGLE - Température moy. +2 m (°C);AIGLE - Humidité moy. (%);AIGLE - Précipitations tot. (mm ou litres/m2);AIGLE - Rayonnement (W/m2);GIORNICO - Température moy. +2 m (°C);GIORNICO - Humidité moy. (%);GIORNICO - Précipitations tot. (mm ou litres/m2);GIORNICO - Rayonnement (W/m2)
01.01.2024;5;84;4.1;37;4.6;84;0.1;26;2.5;95;0.1;16
02.01.2024;6.9;81;11.3;18;6.2;70;4.9;27;3;85;0;26
03.01.2024;10;70;15.4;48;9.9;68;4.8;28;4;89;0;14
04.01.2024;6.8;81;5.2;40;7.3;79;1.2;29;5.5;81;1.7;15
05.01.2024;3.5;95;2.1;17;5.6;84;9.5;8;2.7;91;18.1;6
06.01.2024;3.7;95;8.6;18;4.4;86;0.9;13;6.4;65;6.4;26
07.01.2024;2;94;6;18;4;80;0;36;9.6;31;0;25
08.01.2024;-2.3;78;0;8;0.4;81;0;16;7.2;50;0;20
09.01.2024;-3.7;77;0;12;0.1;87;0;30;4.2;97;2.1;4
10.01.2024;-3.1;90;0.1;21;1.1;95;0;33;3.4;100;1.4;15
11.01.2024;-3.2;89;0;24;0.8;92;0;22;0.7;100;0.1;17
12.01.2024;-3.7;90;0.1;70;0.2;80;0;24;0.3;98;0;18
13.01.2024;-3.6;93;0;24;-2;95;0;18;-0.8;86;0;19
14.01.2024;-1.8;84;0;66;-0.7;78;0;30;-1;86;0;18
15.01.2024;0.2;75;0.2;50;2.2;95;0.5;23;2.4;77;0;26
16.01.2024;-2.6;80;0;79;1.6;77;0;46;0.9;61;0;25
17.01.2024;3.3;94;27.2;18;6.7;83;15.8;20;1.9;88;5.2;17
18.01.2024;6.3;87;11;19;7.3;95;19.2;28;2.6;100;2.8;27
19.01.2024;-2;80;3.4;62;0.6;79;1;78;5.6;28;0;27
20.01.2024;-3.7;80;0;109;-2;72;0;79;-1;41;0;28
21.01.2024;-2.9;81;0;80;0.2;76;0;66;-0.2;46;0;35
22.01.2024;3.7;78;16.3;31;4.2;71;6.9;37;1.3;65;0;35
23.01.2024;6.6;81;6;36;6.6;88;0.1;47;7.8;59;0;30
24.01.2024;11.2;73;2.3;21;8.9;86;0;50;5.2;91;0;32
25.01.2024;9.4;93;7.8;34;9.5;90;0;81;12.3;57;0;36
26.01.2024;8.8;84;0.8;33;8.6;84;2.9;29;8.9;63;0;46
27.01.2024;4.7;79;0;112;7.1;84;0;87;10.4;33;0;35
28.01.2024;0.8;92;0;50;4.3;80;0;88;4.8;49;0;35
29.01.2024;-0.9;99;0.1;43;4.7;79;0;78;3.7;62;0;38
30.01.2024;1;98;0.2;71;5.3;79;0;74;3.6;71;0;43
31.01.2024;4.3;87;0;87;5.1;76;0;65;4;77;0;40
01.02.2024;6.6;89;1.2;21;4.8;90;0.8;22;8.5;61;0;23
02.02.2024;6.3;90;0;50;6.7;79;0;43;11.2;42;0;43
03.02.2024;6.6;76;0;127;6.4;78;0;101;12;47;0;43
04.02.2024;6.1;82;0;87;5.5;87;0;101;14.3;31;0;44
05.02.2024;6;80;0;119;4.7;88;0;98;10.8;46;0;46
06.02.2024;4.7;80;0;126;5.4;72;0;100;6.4;69;0;41
07.02.2024;7;72;3.4;67;5.7;81;1.9;97;8.3;63;0;43
08.02.2024;9;84;3.5;54;8.2;90;1.8;74;6.8;81;0.1;59
09.02.2024;8.9;94;12.7;23;9.6;82;0.9;22;6.6;100;25.3;5
10.02.2024;8.7;90;0.1;56;8;93;0.4;45;6;100;18.7;11
11.02.2024;6.5;81;2.8;57;6.2;93;0.8;67;8.4;71;4.9;45
12.02.2024;6.4;82;1.5;72;6.4;85;0;88;7.7;68;0;65
13.02.2024;6.1;73;0;155;6.4;74;0;121;8.5;46;0;58
